pet_id,customer_id,pet_name,breed,size,age_years,life_stage,weight_lbs,allergy,activity_level,birthday_month,birthday_day
PET0328,C0268,Ruby,German Shepherd,large,6.8,adult,70.2,,low,3,25
PET0329,C0268,Penny,German Shepherd,large,3.1,adult,70.6,,low,12,20
PET0330,C0268,Max,Golden Retriever,large,11.0,senior,58.4,,medium,11,24
PET0331,C0269,Biscuit,Mixed Breed,medium,5.8,adult,41.0,,medium,7,23
PET0332,C0270,Milo,Pembroke Welsh Corgi,small,0.6,puppy,22.3,,high,3,11
PET0333,C0271,Maggie,Mixed Breed,medium,7.1,senior,63.2,,medium,12,4
PET0334,C0272,Lola,Pembroke Welsh Corgi,small,12.3,senior,30.0,,low,5,24
PET0335,C0273,Rocky,Shih Tzu,small,3.2,adult,14.8,,medium,5,13
PET0336,C0274,Zoe,German Shorthaired Pointer,large,3.5,adult,49.4,,medium,3,13
PET0337,C0274,Ruby,Labrador,large,9.5,senior,66.4,,low,10,10
PET0338,C0275,Penny,German Shepherd,large,3.5,adult,73.3,beef,medium,5,17
PET0339,C0276,Jack,Yorkshire Terrier,small,4.5,adult,5.3,dairy,low,8,1
PET0340,C0277,Oliver,Cavalier King Charles,small,0.3,puppy,14.3,,high,7,26
PET0341,C0278,Mochi,Mixed Breed,medium,5.0,adult,33.1,,medium,9,19
PET0342,C0279,Lily,Mixed Breed,medium,3.0,adult,48.9,chicken,medium,6,13
PET0343,C0280,Banjo,German Shepherd,large,4.0,adult,88.1,,medium,7,9
PET0344,C0281,Biscuit,Cavalier King Charles,small,3.2,adult,13.5,,high,4,9
PET0345,C0282,Penny,Golden Retriever,large,13.7,senior,74.9,,medium,1,7
PET0346,C0283,Biscuit,Labrador,large,3.4,adult,76.3,,medium,9,4
PET0347,C0284,Milo,Pembroke Welsh Corgi,small,5.7,adult,25.0,,low,1,1
PET0348,C0285,Gus,Poodle,medium,4.8,adult,54.5,,medium,5,8
PET0349,C0286,Gus,Golden Retriever,large,0.2,puppy,55.2,,medium,2,16
PET0350,C0286,Sadie,Mixed Breed,medium,1.3,adult,63.2,grain,high,6,2
PET0351,C0287,Daisy,French Bulldog,small,2.4,adult,27.7,,low,12,4
PET0352,C0288,Jack,German Shepherd,large,3.2,adult,63.1,dairy,low,7,25
PET0353,C0288,Luna,French Bulldog,small,2.7,adult,25.1,dairy,medium,2,10
PET0354,C0289,Zoe,German Shorthaired Pointer,large,3.5,adult,66.2,,medium,2,6
PET0355,C0290,Max,Mixed Breed,medium,10.6,senior,39.8,,high,5,9
PET0356,C0291,Oliver,Mixed Breed,medium,2.7,adult,44.2,,medium,2,4
PET0357,C0292,Milo,Pembroke Welsh Corgi,small,6.0,adult,28.1,,low,3,21
PET0358,C0293,Cooper,Mixed Breed,medium,2.0,adult,58.9,,high,11,6
PET0359,C0294,Bailey,German Shepherd,large,2.4,adult,79.6,chicken,medium,11,27
PET0360,C0295,Banjo,Golden Retriever,large,3.1,adult,69.5,,high,9,25
PET0361,C0296,Lucy,Dachshund,small,8.3,senior,18.5,,medium,3,3
PET0362,C0297,Pepper,Beagle,small,2.6,adult,27.1,,low,7,13
PET0363,C0298,Cooper,Labrador,large,6.8,adult,63.1,,medium,7,7
PET0364,C0299,Oliver,Shih Tzu,small,3.1,adult,14.7,,low,12,17
PET0365,C0299,Pepper,Boxer,large,5.9,adult,69.4,,medium,7,18
PET0366,C0300,Finn,French Bulldog,small,1.1,adult,19.3,,medium,1,16
PET0367,C0301,Mochi,Labrador,large,3.2,adult,68.2,,low,7,21
PET0368,C0302,Tucker,Australian Shepherd,medium,1.6,adult,45.5,,high,11,6
PET0369,C0303,Toby,Boxer,large,9.1,senior,63.6,,medium,6,26
PET0370,C0304,Lucy,Mixed Breed,medium,2.4,adult,21.2,,medium,5,7
PET0371,C0305,Lucy,Mixed Breed,medium,2.3,adult,61.1,,medium,3,3
PET0372,C0305,Finn,German Shorthaired Pointer,large,7.4,senior,65.7,,medium,5,9
PET0373,C0305,Toby,Poodle,medium,4.5,adult,67.9,,medium,6,21
PET0374,C0306,Max,Mixed Breed,medium,3.7,adult,54.1,,medium,12,26
PET0375,C0307,Beans,Labrador,large,0.6,puppy,56.0,,high,8,16
PET0376,C0308,Bear,French Bulldog,small,8.8,senior,22.2,,high,8,1
PET0377,C0309,Gus,Labrador,large,6.7,adult,77.8,,medium,4,8
PET0378,C0310,Murphy,Poodle,medium,7.0,senior,62.7,,low,4,13
PET0379,C0310,Finn,Labrador,large,0.8,puppy,69.7,,low,12,16
PET0380,C0311,Sophie,Cavalier King Charles,small,1.9,adult,14.4,grain,medium,12,8
PET0381,C0312,Bella,German Shorthaired Pointer,large,1.6,adult,53.8,chicken,medium,5,27
PET0382,C0313,Lily,Dachshund,small,7.0,senior,28.5,,high,12,22
PET0383,C0313,Lily,Australian Shepherd,medium,10.2,senior,47.2,,medium,1,21
PET0384,C0313,Duke,French Bulldog,small,1.9,adult,19.8,,medium,10,13
PET0385,C0314,Daisy,Labrador,large,5.8,adult,67.5,,low,1,19
PET0386,C0315,Olive,Labrador,large,8.1,senior,62.7,,medium,10,11
PET0387,C0316,Milo,Golden Retriever,large,12.5,senior,66.3,,high,7,17
PET0388,C0317,Scout,Labrador,large,7.4,senior,79.2,,high,12,13
PET0389,C0317,Lucy,Golden Retriever,large,5.7,adult,61.1,chicken,low,10,19
PET0390,C0318,Riley,Labrador,large,6.0,adult,57.4,,high,5,18
PET0391,C0318,Sadie,German Shepherd,large,2.4,adult,73.8,,medium,7,15
PET0392,C0319,Bear,French Bulldog,small,8.7,senior,26.3,,low,5,8
PET0393,C0320,Mochi,Mixed Breed,medium,4.4,adult,54.3,,medium,3,9
PET0394,C0321,Zoe,Mixed Breed,medium,11.6,senior,41.9,,medium,10,10
PET0395,C0321,Stella,Mixed Breed,medium,7.5,senior,32.0,,medium,2,9
PET0396,C0322,Pickles,French Bulldog,small,3.5,adult,25.9,,medium,2,25
PET0397,C0323,Banjo,Mixed Breed,medium,2.2,adult,69.0,,low,5,8
PET0398,C0324,Sadie,Mixed Breed,medium,12.9,senior,24.2,,medium,5,13
PET0399,C0325,Roxy,Labrador,large,2.5,adult,57.5,,high,5,10
PET0400,C0325,Sophie,German Shepherd,large,4.9,adult,60.8,,high,9,2
PET0401,C0325,Beans,French Bulldog,small,5.1,adult,19.2,,high,2,13
PET0402,C0326,Toby,Poodle,medium,8.9,senior,50.8,,low,5,6
PET0403,C0326,Murphy,Beagle,small,8.4,senior,24.7,,medium,11,26
PET0404,C0327,Zoe,Cavalier King Charles,small,2.3,adult,13.8,,low,12,22
PET0405,C0327,Penny,Golden Retriever,large,8.0,senior,61.9,,medium,2,25
PET0406,C0328,Penny,Labrador,large,7.7,senior,55.5,,high,10,27
PET0407,C0328,Mochi,Bulldog,medium,10.0,senior,40.1,,medium,3,5
PET0408,C0329,Beans,Golden Retriever,large,6.0,adult,59.7,,high,5,15
PET0409,C0330,Lucy,Shih Tzu,small,10.1,senior,12.1,,low,5,12
PET0410,C0331,Jack,Beagle,small,7.1,senior,28.7,,low,2,27
PET0411,C0332,Beans,Dachshund,small,4.2,adult,19.5,,high,5,6
PET0412,C0333,Murphy,Mixed Breed,medium,7.8,senior,27.5,,medium,10,21
PET0413,C0334,Rocky,French Bulldog,small,5.7,adult,26.5,,high,3,6
PET0414,C0335,Buddy,French Bulldog,small,3.6,adult,25.1,,medium,12,5
PET0415,C0336,Sadie,Golden Retriever,large,8.6,senior,74.5,chicken,low,9,2
PET0416,C0336,Zoe,French Bulldog,small,1.5,adult,28.0,,high,5,17
PET0417,C0336,Bailey,Poodle,medium,3.4,adult,40.6,,high,3,2
PET0418,C0337,Jack,Mixed Breed,medium,0.4,puppy,52.5,,low,5,3
PET0419,C0338,Zoe,Mixed Breed,medium,9.1,senior,26.7,dairy,low,7,12
PET0420,C0339,Lucy,Mixed Breed,medium,3.1,adult,62.5,,high,3,27
PET0421,C0340,Riley,Beagle,small,7.0,senior,26.5,beef,low,7,25
PET0422,C0341,Ruby,Rottweiler,large,5.4,adult,80.7,,medium,6,20
PET0423,C0342,Waffles,Beagle,small,6.6,adult,24.9,grain,low,3,12
PET0424,C0343,Sophie,French Bulldog,small,10.1,senior,20.7,chicken,medium,4,5
PET0425,C0344,Lola,Australian Shepherd,medium,7.4,senior,53.7,,low,12,13
PET0426,C0345,Roxy,Shih Tzu,small,0.6,puppy,14.0,grain,medium,2,15
PET0427,C0345,Buddy,Golden Retriever,large,3.7,adult,59.7,,high,5,15
PET0428,C0346,Olive,Dachshund,small,4.1,adult,27.2,,low,1,1
PET0429,C0346,Sophie,Cavalier King Charles,small,2.2,adult,15.6,,medium,5,6
PET0430,C0347,Finn,German Shepherd,large,0.4,puppy,74.4,,high,6,17
PET0431,C0347,Lucy,Mixed Breed,medium,9.2,senior,50.2,,medium,10,10
PET0432,C0348,Pickles,Labrador,large,3.1,adult,60.3,,high,8,12
PET0433,C0349,Scout,German Shorthaired Pointer,large,6.6,adult,52.0,,medium,11,20
PET0434,C0350,Lucy,French Bulldog,small,7.0,senior,20.9,,high,2,15
PET0435,C0351,Pepper,Shih Tzu,small,7.6,senior,15.1,,medium,8,27
PET0436,C0352,Cooper,Labrador,large,4.7,adult,59.9,,high,9,27
PET0437,C0352,Pickles,Mixed Breed,medium,1.6,adult,33.5,,medium,8,20
PET0438,C0353,Maggie,Beagle,small,4.1,adult,28.4,,medium,7,19
PET0439,C0354,Buddy,Golden Retriever,large,4.2,adult,70.1,,low,2,20
PET0440,C0355,Lucy,Poodle,medium,5.4,adult,54.0,,low,11,5
PET0441,C0356,Sadie,French Bulldog,small,6.9,adult,22.0,,low,12,12
PET0442,C0357,Gus,Australian Shepherd,medium,14.8,senior,58.6,,medium,5,20
PET0443,C0358,Beans,Golden Retriever,large,5.0,adult,60.1,,medium,3,3
PET0444,C0359,Charlie,Labrador,large,5.3,adult,75.9,,medium,3,12
PET0445,C0360,Penny,Labrador,large,3.3,adult,69.8,,low,12,14
PET0446,C0361,Bella,Cavalier King Charles,small,2.9,adult,13.7,,medium,2,8
PET0447,C0362,Pickles,Pembroke Welsh Corgi,small,7.0,senior,23.9,,low,12,8
PET0448,C0362,Buddy,Pembroke Welsh Corgi,small,7.6,senior,22.7,,medium,5,10
PET0449,C0363,Bear,French Bulldog,small,4.2,adult,19.2,,medium,5,1
PET0450,C0364,Sophie,Labrador,large,0.4,puppy,75.0,,low,7,14
PET0451,C0364,Pepper,Labrador,large,1.4,adult,56.8,,medium,6,5
PET0452,C0365,Waffles,Labrador,large,9.1,senior,71.3,,high,7,14
PET0453,C0366,Pickles,Australian Shepherd,medium,3.7,adult,50.4,,low,9,20
PET0454,C0367,Lola,Rottweiler,large,3.8,adult,85.8,,low,12,21
PET0455,C0368,Pickles,Mixed Breed,medium,7.0,senior,43.6,,low,2,11
PET0456,C0369,Lola,French Bulldog,small,0.2,puppy,27.4,,medium,1,10
PET0457,C0369,Gus,Dachshund,small,8.2,senior,20.1,,high,12,8
PET0458,C0370,Pickles,Beagle,small,4.3,adult,21.4,grain,low,9,24
PET0459,C0370,Cooper,Australian Shepherd,medium,3.1,adult,57.9,,medium,3,23
PET0460,C0371,Rocky,German Shepherd,large,4.9,adult,74.8,,low,2,15
PET0461,C0372,Olive,German Shepherd,large,4.2,adult,78.5,,medium,12,17
PET0462,C0372,Max,Australian Shepherd,medium,13.7,senior,55.5,,medium,9,15
PET0463,C0373,Tucker,Labrador,large,8.7,senior,65.2,,low,1,25
PET0464,C0374,Maggie,Beagle,small,1.2,adult,21.7,,medium,12,24
PET0465,C0375,Luna,German Shorthaired Pointer,large,4.9,adult,65.1,,high,11,24
PET0466,C0376,Duke,Pembroke Welsh Corgi,small,7.5,senior,26.6,,high,8,9
PET0467,C0377,Tucker,Mixed Breed,medium,4.0,adult,23.2,,low,2,27
PET0468,C0378,Scout,Beagle,small,1.8,adult,26.8,,medium,5,16
PET0469,C0379,Maggie,Labrador,large,6.4,adult,72.3,,high,7,6
PET0470,C0380,Cooper,Mixed Breed,medium,7.6,senior,52.4,,medium,1,10
PET0471,C0381,Mochi,Rottweiler,large,3.3,adult,102.2,,medium,11,18
PET0472,C0382,Olive,French Bulldog,small,3.8,adult,23.1,,low,12,12
PET0473,C0382,Pickles,Labrador,large,7.0,senior,62.8,,medium,7,18
PET0474,C0383,Pepper,Golden Retriever,large,8.5,senior,69.6,,medium,10,20
PET0475,C0383,Waffles,Australian Shepherd,medium,4.9,adult,54.1,,low,11,16
PET0476,C0384,Zoe,Pembroke Welsh Corgi,small,9.0,senior,27.3,,low,2,11
PET0477,C0385,Olive,Poodle,medium,7.7,senior,42.8,chicken,medium,6,25
PET0478,C0386,Zoe,Golden Retriever,large,1.3,adult,74.6,,high,11,10
PET0479,C0387,Duke,Pembroke Welsh Corgi,small,3.6,adult,29.6,,low,11,6
PET0480,C0388,Scout,Beagle,small,8.6,senior,27.5,,medium,12,21
PET0481,C0388,Riley,Australian Shepherd,medium,1.5,adult,64.3,chicken,medium,11,7
PET0482,C0389,Scout,Golden Retriever,large,10.5,senior,69.1,,medium,5,5
PET0483,C0390,Luna,Poodle,medium,5.0,adult,58.2,,high,9,12
PET0484,C0390,Gus,German Shorthaired Pointer,large,7.6,senior,59.0,,medium,5,7
PET0485,C0391,Scout,Shih Tzu,small,6.1,adult,10.5,,medium,4,11
PET0486,C0392,Lily,Mixed Breed,medium,8.8,senior,65.4,,medium,7,6
PET0487,C0393,Finn,Shih Tzu,small,3.5,adult,10.5,,high,11,11
PET0488,C0394,Milo,Dachshund,small,3.9,adult,28.9,,medium,7,9
PET0489,C0395,Bailey,Rottweiler,large,0.2,puppy,96.7,,medium,4,3
PET0490,C0396,Jack,Pembroke Welsh Corgi,small,4.8,adult,22.4,,high,5,17
PET0491,C0397,Luna,Labrador,large,0.3,puppy,72.4,,medium,9,26
PET0492,C0398,Gus,French Bulldog,small,5.6,adult,26.8,grain,high,4,8
PET0493,C0399,Stella,Mixed Breed,medium,5.6,adult,43.5,chicken,medium,8,3
PET0494,C0400,Penny,Shih Tzu,small,3.0,adult,10.9,chicken,high,1,8
PET0495,C0401,Rocky,Dachshund,small,9.6,senior,17.9,grain,high,11,23
PET0496,C0402,Gus,Yorkshire Terrier,small,3.3,adult,4.1,grain,low,10,8
PET0497,C0402,Zoe,Australian Shepherd,medium,0.3,puppy,53.5,,low,12,6
PET0498,C0403,Bailey,Rottweiler,large,2.3,adult,100.6,grain,medium,10,24
PET0499,C0404,Lily,Mixed Breed,medium,2.6,adult,57.8,,medium,5,14
PET0500,C0405,Murphy,Poodle,medium,5.3,adult,66.9,,high,7,15
PET0501,C0406,Penny,German Shepherd,large,3.2,adult,63.8,,low,11,1
PET0502,C0406,Beans,Rottweiler,large,2.9,adult,97.3,,high,8,4
PET0503,C0407,Finn,Australian Shepherd,medium,9.2,senior,41.6,dairy,medium,8,22
PET0504,C0408,Cooper,Beagle,small,3.2,adult,22.3,,medium,5,17
PET0505,C0409,Beans,German Shepherd,large,7.0,senior,82.7,,medium,10,26
PET0506,C0410,Buddy,German Shepherd,large,0.7,puppy,65.3,,medium,4,27
PET0507,C0411,Lily,Bulldog,medium,14.7,senior,41.0,,medium,12,10
PET0508,C0412,Lily,Poodle,medium,6.8,adult,53.1,,medium,1,19
PET0509,C0412,Charlie,French Bulldog,small,3.9,adult,18.9,,low,1,2
PET0510,C0413,Olive,Bulldog,medium,10.0,senior,49.3,,low,5,5
PET0511,C0413,Penny,Mixed Breed,medium,5.4,adult,43.9,,medium,12,15
PET0512,C0414,Scout,Poodle,medium,2.3,adult,56.7,,low,7,12
PET0513,C0414,Duke,Poodle,medium,5.6,adult,48.6,,low,6,5
PET0514,C0414,Roxy,Golden Retriever,large,9.8,senior,73.1,,low,8,26
PET0515,C0415,Scout,Beagle,small,10.1,senior,20.2,,medium,5,12
PET0516,C0416,Cooper,Rottweiler,large,6.3,adult,93.7,,medium,2,14
PET0517,C0417,Sadie,Rottweiler,large,3.2,adult,95.8,,medium,7,16
PET0518,C0417,Maggie,Labrador,large,8.3,senior,57.5,,medium,3,27
PET0519,C0418,Maggie,Cavalier King Charles,small,1.7,adult,13.3,,high,2,5
PET0520,C0418,Olive,French Bulldog,small,5.7,adult,27.4,,high,12,10
PET0521,C0419,Duke,Yorkshire Terrier,small,2.6,adult,5.6,beef,medium,2,13
PET0522,C0419,Waffles,Poodle,medium,7.7,senior,68.1,,medium,6,27
PET0523,C0420,Milo,Golden Retriever,large,7.4,senior,69.9,,medium,10,23
PET0524,C0421,Buddy,Dachshund,small,12.1,senior,19.6,,high,3,17
PET0525,C0422,Lola,Beagle,small,1.5,adult,28.7,,low,4,23
PET0526,C0423,Charlie,German Shepherd,large,11.0,senior,60.3,,medium,5,22
PET0527,C0424,Duke,Golden Retriever,large,6.7,adult,69.1,chicken,low,4,3
PET0528,C0425,Buddy,French Bulldog,small,4.5,adult,19.1,,medium,11,9
PET0529,C0425,Buddy,Mixed Breed,medium,4.2,adult,64.8,,low,2,25
PET0530,C0426,Bailey,Labrador,large,7.2,senior,71.1,,low,1,4
PET0531,C0427,Ruby,Shih Tzu,small,3.3,adult,10.5,,low,8,4
PET0532,C0427,Sadie,Mixed Breed,medium,1.6,adult,22.4,,medium,4,11
PET0533,C0428,Bailey,Poodle,medium,13.1,senior,60.9,,medium,7,26
PET0534,C0429,Toby,Mixed Breed,medium,0.8,puppy,44.9,,high,5,7
PET0535,C0430,Pickles,French Bulldog,small,3.9,adult,25.6,chicken,high,2,17
PET0536,C0431,Ruby,Poodle,medium,7.1,senior,61.1,,medium,1,27
PET0537,C0432,Olive,Shih Tzu,small,0.7,puppy,13.8,,high,7,15
PET0538,C0432,Duke,Labrador,large,0.8,puppy,68.7,,medium,9,20
PET0539,C0433,Lola,French Bulldog,small,0.2,puppy,23.4,,high,2,25
PET0540,C0434,Sophie,Poodle,medium,1.8,adult,68.4,,low,6,22
PET0541,C0435,Gus,Rottweiler,large,4.4,adult,125.6,,medium,11,25
PET0542,C0435,Daisy,Labrador,large,6.6,adult,64.4,,low,12,20
PET0543,C0436,Rocky,French Bulldog,small,7.1,senior,24.1,,low,5,6
PET0544,C0437,Toby,German Shepherd,large,5.9,adult,88.6,,medium,11,12
PET0545,C0438,Waffles,Poodle,medium,12.2,senior,60.0,,medium,9,13
PET0546,C0438,Duke,Poodle,medium,3.3,adult,56.1,,medium,9,11
PET0547,C0438,Riley,German Shorthaired Pointer,large,0.9,puppy,68.3,,medium,1,14
PET0548,C0439,Mochi,Bulldog,medium,5.0,adult,44.8,,low,1,2
PET0549,C0440,Pickles,Mixed Breed,medium,6.7,adult,67.2,,medium,8,15
PET0550,C0441,Sadie,French Bulldog,small,1.8,adult,21.7,,medium,5,10
PET0551,C0442,Murphy,French Bulldog,small,4.7,adult,26.7,,low,4,15
PET0552,C0442,Bella,Bulldog,medium,7.2,senior,40.4,,medium,12,1
PET0553,C0443,Rocky,German Shepherd,large,16.0,senior,84.2,chicken,high,8,12
PET0554,C0444,Mochi,Mixed Breed,medium,0.8,puppy,21.4,,high,7,5
PET0555,C0445,Penny,Poodle,medium,7.4,senior,55.5,,high,9,7
PET0556,C0445,Daisy,Pembroke Welsh Corgi,small,8.1,senior,26.3,,medium,1,16
PET0557,C0446,Scout,Bulldog,medium,5.3,adult,47.5,,medium,7,23
PET0558,C0447,Toby,Australian Shepherd,medium,5.9,adult,43.2,,low,4,2
PET0559,C0448,Lily,Pembroke Welsh Corgi,small,8.6,senior,23.8,,medium,4,19
PET0560,C0448,Finn,Labrador,large,7.8,senior,66.5,,medium,2,6
PET0561,C0449,Lily,Dachshund,small,3.2,adult,27.4,dairy,medium,12,26
PET0562,C0450,Pickles,Bulldog,medium,3.9,adult,41.0,,high,8,18
PET0563,C0451,Duke,Beagle,small,8.2,senior,24.1,,medium,10,25
PET0564,C0452,Sadie,Dachshund,small,4.9,adult,25.0,,medium,7,3
PET0565,C0452,Maggie,Beagle,small,0.5,puppy,27.7,,high,5,10
PET0566,C0453,Oliver,Beagle,small,3.1,adult,23.8,,medium,9,23
PET0567,C0454,Pepper,Beagle,small,0.6,puppy,26.1,,medium,4,7
PET0568,C0455,Olive,Mixed Breed,medium,3.2,adult,64.8,,high,4,17
PET0569,C0455,Buddy,Mixed Breed,medium,3.6,adult,20.5,,low,9,27
PET0570,C0456,Olive,Bulldog,medium,8.7,senior,44.3,,high,7,4
PET0571,C0457,Pickles,Golden Retriever,large,5.8,adult,68.4,,low,8,4
PET0572,C0458,Oliver,Mixed Breed,medium,6.4,adult,47.6,chicken,medium,9,11
PET0573,C0458,Charlie,German Shepherd,large,4.0,adult,69.3,,medium,5,15
PET0574,C0459,Luna,Poodle,medium,8.5,senior,43.7,chicken,low,1,21
PET0575,C0460,Milo,Australian Shepherd,medium,4.4,adult,54.3,chicken,medium,9,25
PET0576,C0461,Mochi,Golden Retriever,large,3.6,adult,64.9,,high,1,19
PET0577,C0462,Max,German Shepherd,large,5.5,adult,59.5,,medium,5,5
PET0578,C0463,Zoe,Mixed Breed,medium,3.3,adult,21.6,,medium,11,23
PET0579,C0464,Cooper,German Shorthaired Pointer,large,8.1,senior,60.2,chicken,high,12,17
PET0580,C0465,Gus,Poodle,medium,6.9,adult,59.8,,low,9,27
PET0581,C0466,Mochi,Beagle,small,3.2,adult,22.3,chicken,medium,11,16
PET0582,C0466,Bella,Beagle,small,3.4,adult,21.3,grain,medium,5,5
PET0583,C0467,Finn,French Bulldog,small,9.0,senior,23.4,,medium,10,17
PET0584,C0468,Bear,Labrador,large,6.1,adult,68.5,,medium,6,21
PET0585,C0468,Buddy,Bulldog,medium,7.4,senior,41.9,,medium,12,8
PET0586,C0469,Jack,Dachshund,small,0.4,puppy,17.4,,low,2,23
PET0587,C0470,Cooper,Dachshund,small,7.3,senior,30.3,chicken,medium,5,10
PET0588,C0471,Duke,Labrador,large,5.9,adult,56.6,,medium,6,5
PET0589,C0472,Rocky,Beagle,small,0.9,puppy,23.3,chicken,medium,12,1
PET0590,C0473,Riley,Bulldog,medium,0.8,puppy,40.9,,low,5,4
PET0591,C0473,Stella,Poodle,medium,6.2,adult,54.1,,low,3,10
PET0592,C0474,Rocky,German Shorthaired Pointer,large,3.8,adult,50.3,dairy,low,9,1
PET0593,C0475,Riley,Mixed Breed,medium,7.4,senior,42.5,,high,3,23
PET0594,C0476,Cooper,Golden Retriever,large,0.7,puppy,63.7,,medium,9,15
PET0595,C0477,Charlie,Mixed Breed,medium,5.9,adult,36.0,,high,1,25
PET0596,C0478,Toby,Mixed Breed,medium,9.1,senior,61.7,,medium,5,6
PET0597,C0479,Jack,French Bulldog,small,5.3,adult,25.0,,low,5,8
PET0598,C0480,Tucker,German Shepherd,large,0.5,puppy,69.1,,medium,5,24
PET0599,C0481,Finn,Cavalier King Charles,small,6.9,adult,15.0,,medium,2,24
PET0600,C0482,Rocky,Beagle,small,5.3,adult,22.8,,low,1,4
PET0601,C0483,Milo,Mixed Breed,medium,7.5,senior,29.3,,medium,8,26
PET0602,C0484,Bella,Boxer,large,2.3,adult,51.7,,medium,3,16
PET0603,C0485,Lily,German Shepherd,large,2.6,adult,75.5,,medium,7,16
PET0604,C0486,Biscuit,Labrador,large,4.8,adult,72.5,,medium,10,5
PET0605,C0487,Daisy,Labrador,large,0.5,puppy,69.8,,low,6,17
PET0606,C0488,Buddy,Golden Retriever,large,6.7,adult,63.2,,medium,5,13
PET0607,C0489,Murphy,Beagle,small,8.1,senior,25.7,,low,5,7
PET0608,C0490,Tucker,Beagle,small,4.4,adult,21.5,,low,5,6
PET0609,C0491,Banjo,Bulldog,medium,3.6,adult,47.3,,medium,9,9
PET0610,C0491,Gus,Pembroke Welsh Corgi,small,0.5,puppy,28.6,,medium,5,17
PET0611,C0492,Bella,Shih Tzu,small,4.1,adult,15.2,,medium,10,25
PET0612,C0493,Bella,Golden Retriever,large,6.6,adult,73.3,,high,6,9
PET0613,C0494,Oliver,German Shepherd,large,3.1,adult,86.6,,low,4,16
PET0614,C0495,Zoe,Mixed Breed,medium,3.0,adult,37.4,,medium,9,9
PET0615,C0496,Finn,Labrador,large,6.8,adult,56.0,,high,5,14
PET0616,C0497,Buddy,Mixed Breed,medium,8.5,senior,22.3,,low,6,17
PET0617,C0497,Biscuit,Beagle,small,5.2,adult,23.2,,low,5,27
PET0618,C0498,Daisy,Cavalier King Charles,small,7.9,senior,16.3,,medium,7,23
PET0619,C0499,Tucker,Yorkshire Terrier,small,7.9,senior,5.1,,medium,5,9
PET0620,C0500,Sophie,German Shepherd,large,6.0,adult,73.5,,medium,1,5
PET0621,C0500,Rocky,French Bulldog,small,11.5,senior,27.4,,medium,8,3
PET0622,C0501,Milo,Yorkshire Terrier,small,6.7,adult,6.5,dairy,medium,4,11
PET0623,C0502,Milo,German Shorthaired Pointer,large,9.3,senior,62.2,,medium,1,5
PET0624,C0502,Sadie,Australian Shepherd,medium,1.6,adult,40.8,,medium,3,9
PET0625,C0503,Riley,German Shepherd,large,10.5,senior,70.7,beef,low,10,2
PET0626,C0504,Jack,Mixed Breed,medium,7.6,senior,57.4,,low,7,11
PET0627,C0505,Buddy,Bulldog,medium,5.1,adult,41.8,,medium,2,16
PET0628,C0506,Sophie,Rottweiler,large,13.1,senior,88.1,,low,8,19
PET0629,C0506,Buddy,Bulldog,medium,5.2,adult,41.7,,medium,5,5
PET0630,C0507,Ruby,Pembroke Welsh Corgi,small,4.1,adult,28.0,,high,6,18
PET0631,C0508,Daisy,Dachshund,small,2.1,adult,22.3,,medium,1,18
PET0632,C0509,Banjo,German Shepherd,large,5.8,adult,79.8,,medium,5,7
PET0633,C0510,Olive,German Shepherd,large,7.7,senior,86.4,,medium,8,4
PET0634,C0511,Bella,French Bulldog,small,4.7,adult,27.2,grain,medium,5,7
PET0635,C0511,Beans,Poodle,medium,6.9,adult,61.8,beef,low,12,23
PET0636,C0512,Cooper,French Bulldog,small,2.8,adult,25.2,,medium,3,26
PET0637,C0513,Gus,French Bulldog,small,3.7,adult,22.3,,medium,12,2
PET0638,C0514,Penny,Mixed Breed,medium,0.8,puppy,40.6,,medium,12,3
PET0639,C0514,Lily,Labrador,large,8.3,senior,64.8,,low,4,22
PET0640,C0515,Ruby,Labrador,large,16.0,senior,64.6,,medium,10,13
PET0641,C0515,Lola,French Bulldog,small,2.3,adult,26.2,,high,2,7
PET0642,C0516,Beans,Labrador,large,1.7,adult,67.8,grain,medium,8,9
PET0643,C0516,Gus,Mixed Breed,medium,7.6,senior,34.5,grain,medium,12,12
PET0644,C0517,Lily,German Shepherd,large,16.0,senior,68.5,,low,5,8
PET0645,C0518,Rocky,Beagle,small,13.7,senior,21.0,,low,11,18
PET0646,C0519,Milo,Poodle,medium,4.8,adult,53.2,,high,6,9
PET0647,C0520,Buddy,Poodle,medium,1.8,adult,49.7,,medium,12,1
PET0648,C0521,Zoe,Labrador,large,3.4,adult,77.0,,medium,1,7
PET0649,C0521,Murphy,French Bulldog,small,10.3,senior,24.8,chicken,medium,1,7
PET0650,C0521,Sophie,Pembroke Welsh Corgi,small,3.1,adult,28.2,,medium,6,1
PET0651,C0522,Penny,Beagle,small,6.6,adult,23.6,,medium,10,22
PET0652,C0523,Finn,Labrador,large,2.2,adult,73.2,,medium,4,19
PET0653,C0523,Sadie,French Bulldog,small,3.8,adult,18.6,,medium,2,7
PET0654,C0524,Buddy,French Bulldog,small,3.7,adult,22.7,,low,10,19
PET0655,C0525,Bailey,Mixed Breed,medium,7.3,senior,28.1,,medium,1,25
PET0656,C0525,Duke,Poodle,medium,6.4,adult,53.4,,medium,3,22
PET0657,C0526,Rocky,Labrador,large,9.9,senior,77.8,,medium,2,2
